,,,,,,,by cancer type,,,,,gene set,,,,,,,
UBE2L6,CD8.c17(NME1+ T),0.25 ,1.09E-10,2.11E-09,1260,51.53%,4,0.29 ,14,0.49 ,5.68E-08,,,,,,TRUE,,
BOP1,CD8.c17(NME1+ T),0.25 ,5.23E-05,2.32E-04,1261,22.94%,3,0.21 ,14,0.75 ,1.49E-28,,,,,,,,
SLC35B1,CD8.c17(NME1+ T),0.25 ,2.43E-06,1.51E-05,1262,30.99%,3,0.21 ,14,0.66 ,4.90E-05,,,,,TRUE,,,
RPL23,CD8.c17(NME1+ T),0.25 ,5.32E-18,5.80E-16,1263,54.58%,5,0.36 ,14,0.43 ,1.75E-04,,,,,,,,
CHTF18,CD8.c17(NME1+ T),0.25 ,9.60E-06,5.13E-05,1264,12.02%,3,0.21 ,14,0.70 ,7.61E-07,,,,,,,,
WDR83OS,CD8.c17(NME1+ T),0.25 ,8.20E-10,1.27E-08,1266,50.62%,5,0.36 ,14,0.62 ,1.64E-05,,,,,TRUE,,,
CKAP5,CD8.c17(NME1+ T),0.25 ,4.57E-05,2.06E-04,1267,27.23%,3,0.21 ,14,0.86 ,3.63E-10,,,,,,,,
ADA,CD8.c17(NME1+ T),0.25 ,6.43E-07,4.52E-06,1268,32.03%,3,0.21 ,14,0.68 ,2.55E-15,,,,,,TRUE,TRUE,
U2AF2,CD8.c17(NME1+ T),0.25 ,2.47E-07,1.95E-06,1269,39.12%,3,0.21 ,14,0.55 ,1.99E-04,,,,,,,,
CCDC51,CD8.c17(NME1+ T),0.25 ,4.60E-06,2.67E-05,1270,11.96%,2,0.14 ,14,0.48 ,4.79E-01,,,,,TRUE,,,
BRIP1,CD8.c17(NME1+ T),0.25 ,1.66E-04,6.60E-04,1271,8.45%,3,0.21 ,14,1.06 ,7.63E-12,,,,,,TRUE,,TRUE
ENY2,CD8.c17(NME1+ T),0.25 ,2.48E-10,4.38E-09,1272,50.75%,4,0.29 ,14,0.51 ,5.51E-03,,,,,,,,
NUBP1,CD8.c17(NME1+ T),0.25 ,5.66E-12,1.52E-10,1273,25.15%,4,0.29 ,14,0.53 ,2.28E-03,,,,,,,,
TUBB4B,CD8.c17(NME1+ T),0.25 ,5.36E-05,2.38E-04,1274,44.83%,4,0.29 ,14,0.64 ,2.05E-04,,,,,,,TRUE,
SLBP,CD8.c17(NME1+ T),0.25 ,5.41E-04,1.90E-03,1275,43.66%,3,0.21 ,14,0.82 ,8.40E-34,,,,,,,,
AKR7A2,CD8.c17(NME1+ T),0.25 ,3.15E-11,6.98E-10,1276,33.98%,2,0.14 ,14,0.66 ,4.90E-05,,,,,,TRUE,,
HNRNPK,CD8.c17(NME1+ T),0.25 ,2.06E-10,3.72E-09,1277,55.88%,5,0.36 ,14,0.65 ,4.43E-06,TRUE,,,,,,,
PRKCB,CD8.c17(NME1+ T),0.25 ,6.54E-20,1.17E-17,1278,35.93%,2,0.14 ,14,0.39 ,5.82E-02,,TRUE,,,,TRUE,,
EXOSC9,CD8.c17(NME1+ T),0.25 ,8.95E-07,6.08E-06,1279,31.12%,6,0.43 ,14,0.65 ,1.16E-04,,,,,,,,
ATXN10,CD8.c17(NME1+ T),0.25 ,5.50E-09,6.79E-08,1280,39.18%,5,0.36 ,14,0.44 ,3.59E-04,,,,,,,,
HLA-DRB1,CD8.c17(NME1+ T),0.25 ,1.85E-04,7.29E-04,1281,51.53%,5,0.36 ,14,0.66 ,9.27E-05,,,,,TRUE,,,
GYPC,CD8.c17(NME1+ T),0.25 ,7.01E-15,3.77E-13,1282,49.64%,3,0.21 ,14,0.44 ,1.42E-03,,,,,TRUE,,,
KNTC1,CD8.c17(NME1+ T),0.25 ,2.47E-05,1.18E-04,1283,12.87%,5,0.36 ,14,1.03 ,3.35E-11,,,,,,,,
NDUFS4,CD8.c17(NME1+ T),0.25 ,8.53E-13,2.81E-11,1284,33.92%,4,0.29 ,14,0.54 ,2.70E-03,,,,,,,,
QTRT1,CD8.c17(NME1+ T),0.25 ,3.44E-14,1.56E-12,1285,25.21%,2,0.14 ,14,0.47 ,1.02E-02,,,,,,TRUE,,
CSTB,CD8.c17(NME1+ T),0.25 ,1.27E-16,9.97E-15,1286,49.19%,3,0.21 ,14,0.51 ,5.53E-03,,,,,,,,TRUE
RCCD1,CD8.c17(NME1+ T),0.25 ,3.35E-04,1.24E-03,1287,10.59%,4,0.29 ,14,0.67 ,1.85E-06,,,,,,,,
FTSJ1,CD8.c17(NME1+ T),0.25 ,3.93E-09,5.09E-08,1288,30.80%,5,0.36 ,14,0.58 ,7.95E-05,,,,,,TRUE,,TRUE
MRPL19,CD8.c17(NME1+ T),0.25 ,3.27E-06,1.96E-05,1289,26.45%,3,0.21 ,14,0.56 ,1.57E-04,,,,,,,,
HSP90B1,CD8.c17(NME1+ T),0.25 ,3.78E-06,2.24E-05,1290,53.80%,3,0.21 ,14,0.62 ,6.38E-20,,,,,,,,
CBX1,CD8.c17(NME1+ T),0.25 ,2.27E-10,4.05E-09,1291,27.16%,5,0.36 ,14,0.57 ,7.09E-04,,,,,,,,
ELP5,CD8.c17(NME1+ T),0.25 ,3.41E-09,4.47E-08,1292,32.23%,2,0.14 ,14,0.56 ,1.58E-04,,,,,,,,
CNIH1,CD8.c17(NME1+ T),0.25 ,4.54E-06,2.64E-05,1293,39.51%,5,0.36 ,14,0.69 ,1.17E-06,,,,,TRUE,,,
RNF126,CD8.c17(NME1+ T),0.25 ,6.28E-06,3.52E-05,1294,37.30%,4,0.29 ,14,0.58 ,1.12E-17,,,,,,TRUE,,
TMEM183A,CD8.c17(NME1+ T),0.25 ,1.47E-09,2.13E-08,1295,37.62%,4,0.29 ,14,0.49 ,2.27E-04,,,,,TRUE,,,
GEMIN6,CD8.c17(NME1+ T),0.25 ,1.32E-07,1.12E-06,1296,18.39%,4,0.29 ,14,0.51 ,5.36E-03,,,,,,,,
FKBP2,CD8.c17(NME1+ T),0.25 ,2.24E-11,5.13E-10,1297,41.07%,2,0.14 ,14,0.63 ,1.19E-05,,,,,,TRUE,,
MTHFD2,CD8.c17(NME1+ T),0.25 ,8.18E-07,5.60E-06,1298,42.50%,3,0.21 ,14,0.51 ,1.58E-13,,,,,,TRUE,,
POLE3,CD8.c17(NME1+ T),0.25 ,1.66E-06,1.07E-05,1299,36.39%,3,0.21 ,14,0.50 ,2.83E-13,,,TRUE,,,TRUE,TRUE,
RRP1B,CD8.c17(NME1+ T),0.25 ,8.70E-08,7.74E-07,1300,34.57%,5,0.36 ,14,0.56 ,9.29E-04,,,,,,,,
AKIP1,CD8.c17(NME1+ T),0.25 ,9.15E-10,1.41E-08,1301,20.27%,3,0.21 ,14,0.73 ,5.07E-06,,,,,,,,
NDUFS5,CD8.c17(NME1+ T),0.25 ,1.95E-08,2.09E-07,1302,53.09%,2,0.14 ,14,0.50 ,1.26E-10,,,,,,,,
CANX,CD8.c17(NME1+ T),0.25 ,7.78E-06,4.26E-05,1303,49.51%,3,0.21 ,14,0.62 ,3.92E-20,,,,,TRUE,,,
NUP93,CD8.c17(NME1+ T),0.25 ,8.97E-06,4.84E-05,1304,25.67%,2,0.14 ,14,0.71 ,1.80E-05,,,TRUE,,TRUE,,,TRUE
DARS,CD8.c17(NME1+ T),0.25 ,1.15E-08,1.31E-07,1305,42.63%,4,0.29 ,14,0.50 ,8.53E-04,,,,,,TRUE,,TRUE
UCHL5,CD8.c17(NME1+ T),0.24 ,1.90E-06,1.21E-05,1306,33.98%,2,0.14 ,14,0.61 ,2.63E-05,,,,,,TRUE,,
CASP6,CD8.c17(NME1+ T),0.24 ,6.58E-20,1.17E-17,1307,18.91%,2,0.14 ,14,0.40 ,9.90E-09,,,,,,TRUE,,
RPS16,CD8.c17(NME1+ T),0.24 ,1.89E-12,5.71E-11,1308,51.46%,3,0.21 ,14,0.43 ,1.95E-03,,,,,,,,
H2AFJ,CD8.c17(NME1+ T),0.24 ,3.57E-08,3.57E-07,1309,34.37%,4,0.29 ,14,0.49 ,2.64E-04,,,,,,,,
SRPK1,CD8.c17(NME1+ T),0.24 ,6.08E-07,4.31E-06,1310,36.58%,2,0.14 ,14,0.74 ,1.06E-07,,TRUE,,,,TRUE,,
MRPL45,CD8.c17(NME1+ T),0.24 ,1.80E-07,1.47E-06,1311,21.25%,3,0.21 ,14,0.57 ,9.51E-14,,,,,,,,
PEMT,CD8.c17(NME1+ T),0.24 ,3.86E-08,3.81E-07,1312,18.26%,5,0.36 ,14,0.60 ,3.15E-08,,,,,TRUE,TRUE,,
KCNAB2,CD8.c17(NME1+ T),0.24 ,1.35E-08,1.51E-07,1313,39.96%,2,0.14 ,14,0.69 ,8.54E-11,,,,,,,,
RWDD4,CD8.c17(NME1+ T),0.24 ,2.64E-11,5.91E-10,1314,28.07%,3,0.21 ,14,0.40 ,4.58E-03,,,,,,,,
BARD1,CD8.c17(NME1+ T),0.24 ,2.31E-06,1.44E-05,1315,22.61%,5,0.36 ,14,0.63 ,2.61E-04,,,,,,TRUE,,
PDZD11,CD8.c17(NME1+ T),0.24 ,2.78E-07,2.16E-06,1316,29.37%,4,0.29 ,14,0.68 ,1.26E-06,,,,,,,,
EMC9,CD8.c17(NME1+ T),0.24 ,8.65E-06,4.67E-05,1317,21.90%,3,0.21 ,14,1.00 ,1.12E-13,,,,,,,,
NAE1,CD8.c17(NME1+ T),0.24 ,4.02E-12,1.13E-10,1318,30.73%,3,0.21 ,14,0.44 ,3.43E-10,,,,,,,,
PTBP1,CD8.c17(NME1+ T),0.24 ,3.62E-05,1.67E-04,1319,49.38%,4,0.29 ,14,0.56 ,2.50E-16,,,,,,,,
FAM192A,CD8.c17(NME1+ T),0.24 ,7.99E-15,4.28E-13,1320,32.88%,4,0.29 ,14,0.47 ,4.84E-04,,,,,,,,
MMS22L,CD8.c17(NME1+ T),0.24 ,4.32E-07,3.17E-06,1321,15.79%,4,0.29 ,14,0.46 ,4.19E-11,,,,,,,,
EEF2,CD8.c17(NME1+ T),0.24 ,2.03E-06,1.28E-05,1322,57.96%,1,0.07 ,14,0.58 ,2.29E-17,,,,,,,,
NACA,CD8.c17(NME1+ T),0.24 ,1.96E-19,3.26E-17,1323,50.68%,3,0.21 ,14,0.38 ,2.34E-06,,,,,,,,
CRIP1,CD8.c17(NME1+ T),0.24 ,6.36E-09,7.71E-08,1324,51.98%,4,0.29 ,14,0.54 ,6.21E-07,,,,,,,,
PSMD9,CD8.c17(NME1+ T),0.24 ,3.21E-07,2.44E-06,1325,37.75%,3,0.21 ,14,0.59 ,4.79E-05,,,,,,,,
SMARCE1,CD8.c17(NME1+ T),0.24 ,2.86E-17,2.61E-15,1326,42.82%,2,0.14 ,14,0.48 ,1.78E-03,TRUE,,,,,,,
MGMT,CD8.c17(NME1+ T),0.24 ,1.49E-08,1.64E-07,1327,32.03%,2,0.14 ,14,0.62 ,5.94E-09,,,,,,TRUE,,
ADK,CD8.c17(NME1+ T),0.24 ,1.66E-07,1.38E-06,1328,31.90%,3,0.21 ,14,0.47 ,1.31E-04,,TRUE,,,,TRUE,TRUE,
APEH,CD8.c17(NME1+ T),0.24 ,5.55E-12,1.49E-10,1329,32.94%,3,0.21 ,14,0.56 ,1.38E-04,,,,,,TRUE,,
ILF3,CD8.c17(NME1+ T),0.24 ,7.17E-08,6.57E-07,1330,50.03%,3,0.21 ,14,0.68 ,1.32E-06,,,,,,,,
EMC4,CD8.c17(NME1+ T),0.24 ,3.89E-19,5.59E-17,1331,47.37%,3,0.21 ,14,0.42 ,2.62E-02,,,,,TRUE,,,
MFNG,CD8.c17(NME1+ T),0.24 ,1.73E-13,6.65E-12,1332,38.60%,1,0.07 ,14,0.50 ,3.30E-13,,,,,,TRUE,,
CHMP4B,CD8.c17(NME1+ T),0.24 ,4.87E-08,4.71E-07,1333,34.76%,3,0.21 ,14,0.55 ,1.66E-04,,,,,,,,
MFF,CD8.c17(NME1+ T),0.24 ,5.01E-12,1.37E-10,1334,41.13%,3,0.21 ,14,0.44 ,5.44E-03,,,,,TRUE,,,
CHEK2,CD8.c17(NME1+ T),0.24 ,5.38E-08,5.10E-07,1335,9.03%,3,0.21 ,14,0.64 ,1.67E-04,,TRUE,,,TRUE,TRUE,,TRUE
CD320,CD8.c17(NME1+ T),0.24 ,5.88E-05,2.57E-04,1336,30.15%,5,0.36 ,14,0.56 ,1.08E-03,,,,,TRUE,,,
MRPS17,CD8.c17(NME1+ T),0.24 ,1.75E-06,1.12E-05,1337,20.60%,4,0.29 ,14,0.56 ,1.79E-16,,,,,,,,
DPY30,CD8.c17(NME1+ T),0.24 ,4.81E-08,4.66E-07,1338,38.60%,3,0.21 ,14,0.53 ,3.99E-04,,,,,,,,
ALG3,CD8.c17(NME1+ T),0.24 ,3.05E-09,4.03E-08,1339,27.16%,5,0.36 ,14,0.48 ,1.74E-03,,,,,TRUE,TRUE,,TRUE
TMEM256,CD8.c17(NME1+ T),0.24 ,2.21E-08,2.34E-07,1340,41.46%,5,0.36 ,14,0.51 ,6.80E-04,,,,,TRUE,,,
RAB8A,CD8.c17(NME1+ T),0.24 ,4.10E-10,6.78E-09,1341,45.35%,3,0.21 ,14,0.51 ,5.28E-03,,,,,,,,
USP5,CD8.c17(NME1+ T),0.24 ,4.97E-08,4.79E-07,1342,22.55%,3,0.21 ,14,0.70 ,2.47E-05,,,,,,TRUE,,
VASP,CD8.c17(NME1+ T),0.24 ,2.94E-09,3.90E-08,1343,43.73%,3,0.21 ,14,0.69 ,1.17E-06,,,,,,,,
DCLRE1B,CD8.c17(NME1+ T),0.24 ,1.08E-07,9.39E-07,1344,12.15%,4,0.29 ,14,0.68 ,5.47E-05,,,,,,,,
EMC8,CD8.c17(NME1+ T),0.24 ,2.02E-10,3.64E-09,1345,29.11%,5,0.36 ,14,0.64 ,1.02E-04,,,,,,,,
RSL1D1,CD8.c17(NME1+ T),0.24 ,1.63E-12,5.03E-11,1346,49.90%,3,0.21 ,14,0.44 ,1.90E-10,,,,,,,,
MYO1G,CD8.c17(NME1+ T),0.24 ,1.78E-07,1.45E-06,1347,42.43%,4,0.29 ,14,0.71 ,1.99E-05,,,,,,,,
NUP85,CD8.c17(NME1+ T),0.24 ,2.34E-10,4.17E-09,1348,19.88%,5,0.36 ,14,0.51 ,3.75E-03,,,TRUE,,,,,
EIF1AY,CD8.c17(NME1+ T),0.24 ,6.04E-08,5.63E-07,1349,22.22%,1,0.07 ,14,0.38 ,7.82E-02,,,,,,,,
RAD21,CD8.c17(NME1+ T),0.24 ,3.15E-04,1.17E-03,1350,49.19%,3,0.21 ,14,0.73 ,1.53E-07,,,,,,,,
EIF2S3,CD8.c17(NME1+ T),0.24 ,2.01E-12,6.03E-11,1351,47.11%,3,0.21 ,14,0.40 ,4.15E-03,,,,,,,,
COPZ1,CD8.c17(NME1+ T),0.24 ,4.88E-09,6.14E-08,1352,43.08%,5,0.36 ,14,0.59 ,4.44E-05,,,,,,,,
MYL12B,CD8.c17(NME1+ T),0.24 ,9.53E-21,2.34E-18,1353,51.33%,3,0.21 ,14,0.55 ,1.86E-04,,,,,,,,
FKBP8,CD8.c17(NME1+ T),0.24 ,3.80E-10,6.38E-09,1354,50.23%,4,0.29 ,14,0.48 ,1.09E-07,,,,,TRUE,TRUE,,
C20orf24,CD8.c17(NME1+ T),0.24 ,2.52E-08,2.64E-07,1355,46.20%,3,0.21 ,14,0.60 ,3.41E-05,,,,,TRUE,,,
APOO,CD8.c17(NME1+ T),0.24 ,5.10E-06,2.93E-05,1356,16.50%,5,0.36 ,14,0.61 ,1.62E-06,,,,TRUE,TRUE,,,
ATP6V0B,CD8.c17(NME1+ T),0.24 ,1.78E-07,1.46E-06,1357,48.08%,5,0.36 ,14,0.49 ,5.83E-05,,,,,TRUE,,,
BAZ1B,CD8.c17(NME1+ T),0.24 ,1.07E-06,7.19E-06,1358,40.35%,2,0.14 ,14,0.63 ,1.23E-05,,TRUE,TRUE,,,TRUE,,TRUE
RPL27,CD8.c17(NME1+ T),0.24 ,1.45E-12,4.50E-11,1359,53.67%,3,0.21 ,14,0.42 ,2.17E-09,,,,,,,,
PES1,CD8.c17(NME1+ T),0.24 ,7.06E-06,3.90E-05,1360,24.30%,2,0.14 ,14,0.74 ,1.87E-09,,,,,,,,
DENR,CD8.c17(NME1+ T),0.24 ,2.62E-09,3.54E-08,1361,40.35%,3,0.21 ,14,0.58 ,7.91E-05,,,,,,,,
LIMA1,CD8.c17(NME1+ T),0.24 ,1.19E-04,4.88E-04,1362,24.89%,3,0.21 ,14,0.93 ,6.60E-12,,,,,,,,
RPL18A,CD8.c17(NME1+ T),0.24 ,1.33E-06,8.73E-06,1363,54.19%,4,0.29 ,14,0.48 ,1.53E-05,,,,,,,,
MAGOH,CD8.c17(NME1+ T),0.24 ,7.73E-07,5.34E-06,1364,49.64%,5,0.36 ,14,0.56 ,1.19E-04,,,,,,,,
OSTF1,CD8.c17(NME1+ T),0.24 ,6.70E-09,8.04E-08,1365,49.32%,3,0.21 ,14,0.52 ,4.50E-03,,,,,,,,
RAD23B,CD8.c17(NME1+ T),0.24 ,3.38E-10,5.78E-09,1366,37.43%,4,0.29 ,14,0.51 ,7.37E-04,,,,,,,,
C1orf43,CD8.c17(NME1+ T),0.24 ,2.12E-08,2.25E-07,1367,45.16%,1,0.07 ,14,0.42 ,3.20E-02,,,,,TRUE,,,
IGBP1,CD8.c17(NME1+ T),0.24 ,8.82E-15,4.66E-13,1368,42.63%,1,0.07 ,14,0.41 ,3.15E-02,,,,,,,,
LIMS1,CD8.c17(NME1+ T),0.24 ,4.11E-09,5.27E-08,1369,35.93%,4,0.29 ,14,0.49 ,1.43E-03,,,,,,,,
CPSF6,CD8.c17(NME1+ T),0.24 ,1.75E-07,1.44E-06,1370,38.40%,3,0.21 ,14,0.53 ,3.64E-04,,,,,,,,
TMEM14A,CD8.c17(NME1+ T),0.24 ,2.53E-06,1.56E-05,1371,32.88%,4,0.29 ,14,0.55 ,1.65E-04,,,,,TRUE,,,
ACAA1,CD8.c17(NME1+ T),0.24 ,1.50E-20,3.27E-18,1372,35.67%,3,0.21 ,14,0.47 ,4.40E-04,,,,,,TRUE,TRUE,
ECH1,CD8.c17(NME1+ T),0.24 ,2.24E-11,5.13E-10,1373,47.11%,4,0.29 ,14,0.43 ,6.73E-03,,,,,,,,
SIT1,CD8.c17(NME1+ T),0.24 ,8.46E-07,5.78E-06,1374,42.17%,2,0.14 ,14,0.84 ,1.70E-07,,,,,TRUE,,,
NUDT2,CD8.c17(NME1+ T),0.24 ,3.64E-07,2.72E-06,1375,25.28%,4,0.29 ,14,0.63 ,2.18E-04,,,,,,TRUE,,
PPP2R1A,CD8.c17(NME1+ T),0.24 ,2.21E-08,2.34E-07,1376,49.38%,3,0.21 ,14,0.57 ,8.95E-05,,,,,,,,
PPIL3,CD8.c17(NME1+ T),0.24 ,4.50E-06,2.62E-05,1377,27.23%,4,0.29 ,14,0.61 ,2.72E-05,,,,,TRUE,TRUE,,
CPPED1,CD8.c17(NME1+ T),0.24 ,7.74E-07,5.34E-06,1378,17.48%,2,0.14 ,14,0.46 ,2.43E-11,,,,,,TRUE,,
RPN2,CD8.c17(NME1+ T),0.24 ,6.33E-12,1.68E-10,1379,49.19%,1,0.07 ,14,0.40 ,1.82E-08,,,,,TRUE,,,
MRPL42,CD8.c17(NME1+ T),0.24 ,9.00E-11,1.77E-09,1380,32.62%,2,0.14 ,14,0.44 ,1.15E-04,,,,,,,,
LCP1,CD8.c17(NME1+ T),0.24 ,4.05E-06,2.39E-05,1381,56.27%,5,0.36 ,14,0.58 ,5.94E-05,,,,,,,,
RMDN1,CD8.c17(NME1+ T),0.24 ,9.40E-06,5.03E-05,1382,25.08%,5,0.36 ,14,0.68 ,6.70E-08,,,,,,,,
UTP18,CD8.c17(NME1+ T),0.24 ,1.13E-05,5.88E-05,1383,29.37%,3,0.21 ,14,0.51 ,6.85E-14,,,,,,,,
ACOT8,CD8.c17(NME1+ T),0.24 ,6.47E-06,3.61E-05,1384,25.28%,4,0.29 ,14,0.58 ,6.49E-05,,,,,,TRUE,,
UBE2A,CD8.c17(NME1+ T),0.24 ,5.45E-07,3.91E-06,1386,46.33%,5,0.36 ,14,0.52 ,2.68E-03,,,,,,TRUE,,TRUE
UQCR11,CD8.c17(NME1+ T),0.24 ,1.69E-09,2.39E-08,1387,50.81%,2,0.14 ,14,0.59 ,5.03E-08,,,,,TRUE,,,
RPS9,CD8.c17(NME1+ T),0.24 ,2.59E-16,1.90E-14,1388,54.13%,3,0.21 ,14,0.42 ,2.50E-02,,,,,,,,
UBA2,CD8.c17(NME1+ T),0.24 ,1.48E-08,1.63E-07,1389,39.12%,2,0.14 ,14,0.61 ,2.32E-05,,,,,TRUE,,,
HBS1L,CD8.c17(NME1+ T),0.24 ,6.55E-07,4.59E-06,1390,31.71%,3,0.21 ,14,0.62 ,3.10E-04,,,,,TRUE,,,
CHCHD10,CD8.c17(NME1+ T),0.24 ,2.90E-20,5.89E-18,1391,43.01%,1,0.07 ,14,0.36 ,3.54E-02,,,,,,,,
RFXANK,CD8.c17(NME1+ T),0.24 ,4.51E-09,5.70E-08,1392,29.24%,4,0.29 ,14,0.54 ,2.97E-03,TRUE,,,,,,,
LYAR,CD8.c17(NME1+ T),0.24 ,4.56E-05,2.06E-04,1393,45.35%,4,0.29 ,14,0.64 ,3.46E-07,,,,,,,,
NUBP2,CD8.c17(NME1+ T),0.24 ,2.23E-12,6.58E-11,1394,34.70%,4,0.29 ,14,0.50 ,4.36E-03,,,,,,,,
C4orf48,CD8.c17(NME1+ T),0.24 ,8.13E-13,2.69E-11,1395,39.05%,2,0.14 ,14,0.53 ,2.07E-03,,,,TRUE,,,,
RNASEH1,CD8.c17(NME1+ T),0.24 ,3.47E-06,2.08E-05,1396,27.62%,2,0.14 ,14,0.53 ,9.23E-15,,,,,,TRUE,,TRUE
EIF4E2,CD8.c17(NME1+ T),0.24 ,8.25E-08,7.42E-07,1397,39.57%,5,0.36 ,14,0.51 ,7.76E-04,,,,,,,,
COQ5,CD8.c17(NME1+ T),0.24 ,5.95E-06,3.35E-05,1398,20.34%,3,0.21 ,14,0.58 ,5.11E-07,,,,,,TRUE,,
SAAL1,CD8.c17(NME1+ T),0.24 ,6.31E-05,2.74E-04,1399,19.95%,3,0.21 ,14,0.77 ,2.89E-08,,,,,,,,
SRR,CD8.c17(NME1+ T),0.24 ,2.11E-06,1.33E-05,1400,8.32%,4,0.29 ,14,0.68 ,1.27E-06,,,,,,TRUE,,
TMEM109,CD8.c17(NME1+ T),0.24 ,1.44E-10,2.70E-09,1401,45.81%,1,0.07 ,14,0.42 ,1.36E-01,,,,,TRUE,,,
PRR13,CD8.c17(NME1+ T),0.24 ,1.04E-14,5.33E-13,1402,51.40%,2,0.14 ,14,0.61 ,4.65E-04,,,,,,,,
RTCB,CD8.c17(NME1+ T),0.24 ,2.59E-06,1.59E-05,1403,35.09%,3,0.21 ,14,0.47 ,1.01E-11,,,,,,TRUE,,
MRPL34,CD8.c17(NME1+ T),0.23 ,7.21E-13,2.42E-11,1404,39.96%,3,0.21 ,14,0.57 ,1.02E-04,,,,,,,,
CHCHD4,CD8.c17(NME1+ T),0.23 ,9.81E-07,6.62E-06,1405,16.37%,4,0.29 ,14,0.72 ,5.22E-09,,,,,,,,
LGALS3,CD8.c17(NME1+ T),0.23 ,2.41E-04,9.19E-04,1406,39.96%,4,0.29 ,14,0.60 ,2.36E-06,,,,TRUE,,,,
RABEPK,CD8.c17(NME1+ T),0.23 ,3.74E-09,4.85E-08,1407,20.86%,4,0.29 ,14,0.49 ,1.43E-03,,,,,,,,
NCAPH2,CD8.c17(NME1+ T),0.23 ,3.64E-07,2.73E-06,1408,24.11%,2,0.14 ,14,0.62 ,1.82E-05,,,,,,,,
GAR1,CD8.c17(NME1+ T),0.23 ,2.70E-06,1.65E-05,1409,26.12%,2,0.14 ,14,0.49 ,5.62E-03,,,,,,,,
ERP29,CD8.c17(NME1+ T),0.23 ,3.68E-16,2.60E-14,1410,52.24%,2,0.14 ,14,0.39 ,2.18E-03,,,,,,,,
KIF2A,CD8.c17(NME1+ T),0.23 ,2.80E-09,3.74E-08,1411,43.14%,4,0.29 ,14,0.61 ,2.63E-05,,,,,,,,
TCEAL8,CD8.c17(NME1+ T),0.23 ,1.07E-07,9.35E-07,1412,24.04%,0,0.00 ,14,0.45 ,4.66E-01,,,,,,,,
PRDX6,CD8.c17(NME1+ T),0.23 ,1.17E-07,1.01E-06,1413,51.40%,3,0.21 ,14,0.51 ,3.53E-03,,,,,,TRUE,,
SMIM4,CD8.c17(NME1+ T),0.23 ,9.46E-07,6.39E-06,1414,20.27%,0,0.00 ,14,0.51 ,1.20E-01,,,,,TRUE,,,
MRPS26,CD8.c17(NME1+ T),0.23 ,1.29E-06,8.48E-06,1415,33.59%,4,0.29 ,14,0.65 ,7.70E-05,,,,,,,,
HDAC3,CD8.c17(NME1+ T),0.23 ,7.82E-09,9.25E-08,1416,31.97%,4,0.29 ,14,0.52 ,3.05E-03,,,,,,TRUE,TRUE,
E2F7,CD8.c17(NME1+ T),0.23 ,5.57E-05,2.45E-04,1417,7.08%,3,0.21 ,14,0.77 ,2.52E-06,TRUE,,,,,,,
LRRFIP2,CD8.c17(NME1+ T),0.23 ,1.42E-08,1.57E-07,1418,31.06%,3,0.21 ,14,0.46 ,1.27E-02,TRUE,,,,,,,
TIMM8A,CD8.c17(NME1+ T),0.23 ,5.33E-06,3.04E-05,1419,14.23%,3,0.21 ,14,0.60 ,2.42E-06,,,,,,,,
KPNA3,CD8.c17(NME1+ T),0.23 ,2.40E-09,3.27E-08,1420,31.19%,3,0.21 ,14,0.42 ,2.57E-04,,,,,,,,
RHNO1,CD8.c17(NME1+ T),0.23 ,5.07E-10,8.24E-09,1421,25.47%,2,0.14 ,14,0.59 ,4.18E-05,,,,,,,,
IMP4,CD8.c17(NME1+ T),0.23 ,2.62E-08,2.73E-07,1422,34.70%,3,0.21 ,14,0.46 ,1.13E-02,,,,,,,,
NQO1,CD8.c17(NME1+ T),0.23 ,1.79E-05,8.85E-05,1423,9.62%,5,0.36 ,14,0.60 ,6.41E-04,,,,,,TRUE,,
PRKAR1B,CD8.c17(NME1+ T),0.23 ,4.35E-07,3.19E-06,1424,18.58%,4,0.29 ,14,0.56 ,2.75E-07,,,,,,,,
TACO1,CD8.c17(NME1+ T),0.23 ,4.04E-08,3.98E-07,1425,18.26%,4,0.29 ,14,0.47 ,1.50E-11,,,,,,,,
DAP3,CD8.c17(NME1+ T),0.23 ,1.90E-07,1.55E-06,1426,43.47%,2,0.14 ,14,0.43 ,6.26E-03,,,,,,,,
SMARCA4,CD8.c17(NME1+ T),0.23 ,6.56E-16,4.34E-14,1427,29.43%,4,0.29 ,14,0.48 ,1.66E-03,,,,,,,,
FAM49B,CD8.c17(NME1+ T),0.23 ,5.49E-08,5.17E-07,1428,52.96%,3,0.21 ,14,0.47 ,4.85E-04,,,,,,,,
ACOT13,CD8.c17(NME1+ T),0.23 ,2.13E-06,1.34E-05,1429,22.09%,5,0.36 ,14,0.61 ,1.53E-06,,,,,,,,
C1orf123,CD8.c17(NME1+ T),0.23 ,8.23E-08,7.40E-07,1430,27.36%,4,0.29 ,14,0.52 ,2.90E-03,,,,,,,,
LCK,CD8.c17(NME1+ T),0.23 ,6.82E-16,4.49E-14,1431,51.20%,3,0.21 ,14,0.43 ,6.34E-03,,TRUE,,,,TRUE,TRUE,
CSRP1,CD8.c17(NME1+ T),0.23 ,1.06E-04,4.41E-04,1432,34.50%,3,0.21 ,14,0.61 ,1.96E-19,,,,,,,,
